date,time,tempC,windspeedKmph,winddirDegree,weatherDesc,precipMM,humidity,visibility,pressure,cloudcover,HeatIndexC,DewPointC,WindChillC,WindGustKmph,FeelsLikeC
2015-04-20,0,-3,11,356,Overcast,0.0,87,10,1001,100,-3,-5,-7,16,-7

2015-04-20,1200,3,19,337,Moderate or heavy snow showers,0.4,60,7,1002,78,3,-4,-2,22,-2

2015-04-21,0,1,14,344,Heavy snow,0.7,92,2,1003,100,1,-1,-5,21,-5

2015-04-21,1200,4,14,358,Heavy snow,0.7,80,2,1008,98,4,1,-0,18,-0

2015-04-22,0,-1,10,330,Mist,0.0,96,2,1013,87,-1,-1,-4,19,-4

2015-04-22,1200,8,17,302,Overcast,0.0,58,10,1011,96,8,0,5,19,5

2015-04-23,0,5,20,271,Light rain,2.2,94,9,1001,100,5,4,1,29,1

2015-04-23,1200,9,24,232,Light drizzle,0.2,68,2,996,100,9,3,5,31,5

2015-04-24,0,2,26,278,Light snow showers,0.0,86,10,995,49,2,-0,-3,44,-3

2015-04-24,1200,9,19,286,Patchy rain possible,0.6,55,9,1003,49,9,0,5,22,5

2015-04-25,0,4,10,274,Partly cloudy,0.0,95,10,1003,62,4,3,0,16,0

2015-04-25,1200,9,23,305,Patchy rain possible,0.8,51,9,1011,25,9,-1,5,26,5

2015-04-26,0,2,6,246,Partly cloudy,0.0,79,10,1014,49,2,-1,0,14,0

2015-04-26,1200,13,6,183,Cloudy,0.0,76,10,1010,76,13,9,13,8,13

2015-04-27,0,9,7,230,Light rain shower,0.8,98,10,1006,92,9,8,7,15,7

2015-04-27,1200,18,7,257,Moderate or heavy rain shower,2.6,69,7,1009,47,18,12,18,8,18

2015-04-28,0,7,9,165,Partly cloudy,0.0,79,8,1017,42,8,4,6,17,6

2015-04-28,1200,16,11,227,Cloudy,0.0,53,10,1016,51,16,6,16,14,16

2015-04-29,0,11,10,208,Clear,0.0,86,10,1014,2,15,12,14,18,14

2015-04-29,1200,22,11,184,Thundery outbreaks possible,0.0,46,9,1013,65,24,10,22,14,24

2015-04-30,0,11,12,248,Light rain shower,2.0,96,10,1013,38,11,10,10,21,10

2015-04-30,1200,11,10,6,Cloudy,0.0,55,10,1019,73,11,3,10,11,10

2015-05-01,0,6,16,59,Patchy light drizzle,0.2,73,5,1022,65,6,2,2,29,2

2015-05-01,1200,12,19,82,Light drizzle,0.2,84,2,1016,100,12,9,10,28,10

2015-05-02,0,9,9,145,Light rain shower,0.4,99,10,1010,87,9,9,8,15,8

2015-05-02,1200,19,13,177,Partly cloudy,0.0,60,10,1009,34,19,11,19,15,19

2015-05-03,0,10,9,186,Light rain shower,1.4,96,10,1009,73,10,9,9,18,9

2015-05-03,1200,10,18,346,Moderate rain,3.4,88,7,1009,100,10,8,7,25,7

2015-05-04,0,6,10,349,Light rain,2.1,96,9,1010,100,6,6,4,15,4

2015-05-04,1200,13,22,350,Patchy rain possible,0.6,61,9,1013,45,13,5,11,27,11

2015-05-05,0,5,7,358,Clear,0.0,78,10,1019,4,5,2,3,14,3

2015-05-05,1200,15,10,21,Partly cloudy,0.0,42,10,1021,30,15,2,14,12,14

2015-05-06,0,6,9,86,Clear,0.0,82,10,1023,9,6,3,4,18,4

2015-05-06,1200,15,14,71,Sunny,0.0,44,10,1022,0,15,3,15,16,15

2015-05-07,0,8,7,98,Clear,0.0,77,10,1021,0,8,4,6,10,6

2015-05-07,1200,16,11,84,Sunny,0.0,39,10,1017,0,16,3,16,13,16

2015-05-08,0,6,8,123,Cloudy,0.0,69,10,1016,81,6,0,4,17,4

2015-05-08,1200,18,8,111,Sunny,0.0,33,10,1014,9,18,1,18,9,18

2015-05-09,0,7,5,98,Clear,0.0,66,10,1014,14,7,1,7,11,7

2015-05-09,1200,19,11,359,Sunny,0.0,36,10,1013,11,19,4,19,13,19

2015-05-10,0,9,14,355,Clear,0.0,82,10,1016,15,9,6,6,25,6

2015-05-10,1200,18,10,351,Sunny,0.0,47,10,1017,22,18,7,18,12,18

2015-05-11,0,9,9,47,Partly cloudy,0.0,62,10,1019,30,9,2,8,18,8

2015-05-11,1200,20,5,33,Sunny,0.0,40,10,1020,22,20,6,20,6,20

2015-05-12,0,12,5,24,Cloudy,0.0,53,10,1019,80,12,3,12,11,12

2015-05-12,1200,21,7,334,Sunny,0.0,34,10,1020,10,23,5,21,9,21

2015-05-13,0,12,7,172,Clear,0.0,71,10,1017,10,12,7,12,15,12

2015-05-13,1200,21,17,177,Partly cloudy,0.0,48,10,1011,28,21,9,21,21,21

